#U1	H	C	F	X	E	A	L	M	B	G	D
4.1	0.15	0.27	0.12	0.18	0.14	0.16	0.09	0.1	0.17	0.17	0.24
4.12	0.15	0.24	0.12	0.2	0.14	0.15	0.09	0.09	0.2	0.17	0.24
4.15	0.15	0.24	0.13	0.18	0.14	0.15	0.09	0.09	0.18	0.17	0.21
4.17	0.17	0.25	0.13	0.18	0.16	0.17	0.1	0.1	0.18	0.17	0.24
4.2	0.16	0.24	0.13	0.19	0.14	0.15	0.1	0.09	0.2	0.17	0.24
4.22	0.16	0.24	0.13	0.18	0.14	0.15	0.1	0.09	0.17	0.17	0.21
4.24	0.18	0.24	0.13	0.18	0.15	0.16	0.11	0.09	0.17	0.2	0.23
4.27	0.16	0.26	0.12	0.18	0.13	0.15	0.1	0.09	0.18	0.18	0.24
4.29	0.16	0.24	0.12	0.19	0.13	0.15	0.1	0.09	0.18	0.18	0.23
4.32	0.16	0.24	0.15	0.18	0.14	0.15	0.1	0.09	0.17	0.2	0.21
4.34	0.15	0.27	0.13	0.18	0.13	0.15	0.09	0.1	0.17	0.18	0.24
4.37	0.15	0.24	0.13	0.21	0.13	0.14	0.09	0.1	0.19	0.18	0.24
4.39	0.16	0.24	0.14	0.19	0.13	0.14	0.09	0.1	0.18	0.19	0.21
4.42	0.16	0.26	0.12	0.19	0.14	0.17	0.1	0.11	0.18	0.18	0.24
4.44	0.15	0.23	0.12	0.2	0.13	0.15	0.1	0.1	0.2	0.18	0.24
4.46	0.15	0.23	0.12	0.18	0.13	0.15	0.1	0.1	0.17	0.18	0.21
4.49	0.18	0.24	0.13	0.18	0.15	0.17	0.11	0.1	0.17	0.18	0.23
4.51	0.16	0.24	0.12	0.18	0.13	0.14	0.11	0.09	0.18	0.17	0.24
4.54	0.16	0.23	0.12	0.18	0.13	0.14	0.11	0.09	0.17	0.17	0.22
4.56	0.18	0.23	0.14	0.18	0.14	0.14	0.12	0.09	0.17	0.19	0.22
4.59	0.16	0.24	0.13	0.2	0.12	0.13	0.1	0.1	0.19	0.17	0.25
4.61	0.16	0.22	0.13	0.2	0.12	0.13	0.1	0.1	0.19	0.17	0.24
4.63	0.16	0.25	0.14	0.18	0.12	0.15	0.1	0.1	0.18	0.19	0.25
4.66	0.17	0.25	0.13	0.2	0.13	0.15	0.1	0.11	0.2	0.17	0.25
4.68	0.17	0.22	0.13	0.2	0.12	0.14	0.1	0.1	0.2	0.17	0.25
4.71	0.17	0.23	0.13	0.18	0.12	0.16	0.1	0.1	0.18	0.17	0.24
4.73	0.19	0.25	0.13	0.19	0.14	0.16	0.12	0.11	0.2	0.17	0.24
4.76	0.18	0.22	0.13	0.2	0.13	0.14	0.11	0.1	0.21	0.17	0.24
4.78	0.18	0.22	0.13	0.17	0.13	0.15	0.11	0.1	0.18	0.17	0.22
4.81	0.2	0.24	0.14	0.17	0.14	0.15	0.13	0.1	0.19	0.19	0.24
4.83	0.18	0.23	0.13	0.19	0.12	0.13	0.12	0.09	0.2	0.17	0.24
4.85	0.18	0.21	0.13	0.19	0.12	0.13	0.12	0.09	0.19	0.17	0.23
4.88	0.19	0.24	0.15	0.18	0.13	0.15	0.12	0.09	0.19	0.19	0.24
4.9	0.19	0.24	0.14	0.2	0.13	0.14	0.12	0.1	0.21	0.17	0.24
4.93	0.19	0.21	0.14	0.2	0.13	0.13	0.12	0.09	0.2	0.17	0.24
4.95	0.19	0.24	0.15	0.18	0.13	0.16	0.12	0.09	0.18	0.18	0.24
4.98	0.21	0.24	0.13	0.2	0.14	0.16	0.12	0.11	0.2	0.16	0.24
5	0.2	0.21	0.13	0.2	0.13	0.14	0.12	0.1	0.2	0.16	0.24
5.03	0.2	0.22	0.13	0.17	0.13	0.16	0.12	0.1	0.17	0.16	0.23
5.05	0.23	0.24	0.13	0.17	0.16	0.16	0.14	0.11	0.19	0.17	0.24
5.07	0.21	0.22	0.13	0.19	0.15	0.14	0.12	0.1	0.2	0.16	0.24
5.1	0.21	0.22	0.13	0.17	0.15	0.14	0.12	0.1	0.18	0.16	0.22
5.12	0.23	0.25	0.15	0.17	0.16	0.15	0.14	0.1	0.18	0.19	0.24
5.15	0.22	0.24	0.14	0.19	0.14	0.14	0.13	0.1	0.2	0.17	0.24
5.17	0.22	0.22	0.14	0.19	0.14	0.14	0.13	0.1	0.19	0.17	0.23
5.2	0.23	0.25	0.15	0.17	0.14	0.16	0.14	0.1	0.18	0.18	0.24
5.22	0.24	0.25	0.14	0.2	0.15	0.15	0.14	0.12	0.2	0.16	0.24
5.25	0.24	0.24	0.14	0.18	0.14	0.15	0.14	0.1	0.19	0.16	0.21
5.27	0.24	0.25	0.14	0.18	0.14	0.18	0.14	0.1	0.19	0.16	0.23
5.29	0.26	0.24	0.13	0.19	0.16	0.16	0.15	0.12	0.2	0.16	0.23
5.32	0.25	0.24	0.13	0.18	0.14	0.16	0.14	0.11	0.19	0.16	0.21
5.34	0.25	0.24	0.13	0.18	0.14	0.17	0.14	0.11	0.19	0.16	0.22
5.37	0.28	0.25	0.15	0.18	0.15	0.15	0.17	0.12	0.19	0.18	0.22
5.39	0.25	0.23	0.14	0.18	0.13	0.15	0.15	0.12	0.19	0.17	0.21
5.42	0.25	0.23	0.14	0.17	0.13	0.15	0.15	0.12	0.18	0.17	0.19
5.44	0.27	0.26	0.15	0.17	0.14	0.16	0.16	0.12	0.18	0.19	0.22
5.47	0.27	0.24	0.13	0.2	0.14	0.15	0.15	0.13	0.2	0.17	0.22
5.49	0.27	0.24	0.13	0.18	0.14	0.15	0.15	0.13	0.18	0.17	0.2
5.51	0.27	0.26	0.15	0.18	0.14	0.17	0.16	0.13	0.18	0.18	0.23
5.54	0.29	0.24	0.13	0.2	0.15	0.15	0.17	0.15	0.2	0.17	0.23
5.56	0.27	0.24	0.13	0.17	0.14	0.15	0.16	0.13	0.18	0.17	0.2
5.59	0.27	0.24	0.13	0.17	0.14	0.18	0.16	0.13	0.18	0.17	0.22
5.61	0.31	0.24	0.14	0.18	0.16	0.15	0.18	0.14	0.19	0.18	0.23
5.64	0.28	0.23	0.14	0.18	0.15	0.15	0.17	0.13	0.19	0.17	0.21
5.66	0.28	0.23	0.14	0.18	0.15	0.16	0.17	0.13	0.19	0.17	0.21
5.68	0.31	0.26	0.15	0.18	0.16	0.15	0.19	0.14	0.19	0.2	0.23
5.71	0.3	0.23	0.14	0.19	0.14	0.15	0.17	0.14	0.2	0.18	0.23
5.73	0.3	0.23	0.14	0.18	0.14	0.15	0.17	0.13	0.19	0.18	0.2
5.76	0.31	0.26	0.15	0.18	0.14	0.16	0.19	0.13	0.19	0.2	0.24
5.78	0.31	0.24	0.13	0.2	0.14	0.15	0.18	0.15	0.21	0.17	0.24
5.81	0.3	0.24	0.13	0.18	0.14	0.15	0.18	0.15	0.19	0.17	0.21
5.83	0.3	0.25	0.13	0.18	0.14	0.17	0.18	0.15	0.19	0.18	0.24
